id,name,desc,price,oldPrice,imageClass,category,tag
"combo-song-thanh-thoi","Combo Sống Thảnh Thơi","2 Chè Sầu Riêng + 1 Chè Bơ. Một bữa tiệc hương vị béo ngậy, ngọt thanh cho nhóm bạn.","70000","75000","","combos","Bán chạy"
"combo-cap-doi-hoan-hao","Combo Cặp Đôi Hoàn Hảo","1 Chè Xoài Hồng Kông + 1 Sữa Chua Mít. Sự cân bằng giữa vị ngọt dịu và chua thanh.","45000","50000","","combos","Thanh mát"
"combo-tra-che","Combo Trà & Chè","1 Trà Tắc Xí Muội + 1 Chè Ngọc Thạch. Kết hợp chua thanh và ngọt mát — chuẩn combo giải
                            nhiệt.","30000","35000","","combos","Chill hè"
"combo-healthy-chua-ngot","Combo Healthy Chua Ngọt","1 Sữa Chua Chanh Leo + 1 Sữa Chua Hoa Quả. Hai vị chua thanh hòa quyện, nhẹ ngọt và rất tươi.","45000","50000","","combos","Healthy"
"combo-matcha-che","Combo Matcha & Chè","1 Matcha Latte + 1 Chè Khúc Bạch. Đắng nhẹ của matcha hòa cùng khúc bạch béo mềm — combo sang
                            chảnh nhất tiệm.","45000","50000","","combos","Mới"
"che-sau-rieng","Chè Sầu Riêng","Sầu riêng tươi xay nhuyễn, thạch dai giòn kết hợp nước cốt dừa thơm béo, vị ngọt thanh dễ
                            chịu.","25000","","mock-img-1","modern",""
"che-xoai-hong-kong","Chè Xoài Hồng Kông","Xoài cát chín tự nhiên, trân châu trắng và cốt dừa mang lại hương vị ngọt dịu thanh mát.","25000","","mock-img-2","modern",""
"che-ngoc-thach","Chè Ngọc Thạch","Các loại thạch rực rỡ, dai dai giòn giòn cùng nước dùng sữa dừa phảng phất hương hoa bưởi.","15000","","mock-img-3","modern",""
"che-khoai-deo","Chè Khoai Dẻo","Khoai lang tím, vàng dẻo bùi xắt hạt lựu hòa quyện vị thanh mát cốt dừa.","20000","","mock-img-khoaideo","modern",""
"che-khuc-bach-nhan","Chè Khúc Bạch Nhãn","Những viên khúc bạch phô mai mềm tan cùng độ ngọt thanh của nhãn lồng giòn sần sật.","25000","","mock-img-khucbach","modern",""
"che-dua-non","Chè Dừa Non","Nước cốt dừa thơm, thạch lá dứa núng nính, và sợi dừa non sần sật ít ngọt.","25000","","mock-img-duanon","modern",""
"che-bo","Chè Bơ","Bơ dằm béo xốp kết hợp thạch phô mai và sữa tươi thanh nhẹ.","25000","","mock-img-bo","modern",""
"suong-sao-tran-chau-cot-dua","Sương Sáo Trân Châu Cốt Dừa","Sương sáo thanh mát đen nhánh, trân châu dẻo bùi kết hợp cốt dừa.","15000","","mock-img-suongsao","modern",""
"che-thap-cam","Chè Thập Cẩm","Tuyển tập đậu đỏ, đậu đen, thạch đen, dừa khô quyện bùi và nước cốt mộc mạc.","20000","","mock-img-4","traditional",""
"che-buoi","Chè Bưởi","Cùi bưởi giòn sần sật, dẻo quẹo đậu xanh đánh nhuyễn mịn màng.","20000","","mock-img-5","traditional",""
"che-do-den-tran-chau-dua","Chè Đỗ Đen Trân Châu Dừa","Đỗ đen hầm nhừ ngọt thanh ăn kèm trân châu bọc dừa tươi dai sần sật.","15000","","mock-img-doden","traditional",""
"che-ngo-dua-non","Chè Ngô Dừa Non","Ngô luộc dẻo mềm, cốt dừa thơm lừng, giữ trọn vị ngọt tự nhiên của ngô non.","15000","","mock-img-ngo","traditional",""
"che-com-dua-non","Chè Cốm Dừa Non","Hương cốm xanh thoang thoảng mùa thu Hà Nội, quấn quýt cùng dừa non thanh tao.","15000","","mock-img-com","traditional",""
"sua-chua-mit","Sữa Chua Mít","Mít vàng dai giòn thơm tự nhiên, thạch sương sáo thanh mát trộn sữa chua chua dịu.","20000","","mock-img-suachuamit","yogurt",""
